voronoi_zone,latitude,longitude,bare_biweekly,built_biweekly,crops_biweekly,flooded_vegetation_biweekly,grass_biweekly,label_biweekly,shrub_and_scrub_biweekly,snow_and_ice_biweekly,trees_biweekly,water_biweekly,bare_monthly,built_monthly,crops_monthly,flooded_vegetation_monthly,grass_monthly,label_monthly,shrub_and_scrub_monthly,snow_and_ice_monthly,trees_monthly,water_monthly,temperature,humidity,precipitation,wind_speed,BCCMASS,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,CO_column_number_density,DUCMASS,NO2_column_number_density,O3_column_number_density,SO2_column_number_density,absorbing_aerosol_index,tropospheric_HCHO_column_number_density,temp_trend,precip_std,zone,zone_type
0,18.621500229058565,84.1244496490791,0.04629717287652405,0.05216112742470005,0.13034027377727445,0.041204950280361696,0.05847579356989672,2.382636655948553,0.15968466438038623,0.04390074162058216,0.336749215228513,0.03835256538545511,0.04629717287652405,0.05216112742470005,0.13034027377727445,0.041204950280361696,0.05847579356989672,2.382636655948553,0.15968466438038623,0.04390074162058216,0.336749215228513,0.03835256538545511,13.557760237420895,1.0925991412767262,0.0,1.5755612497544365,5.69789926885278e-06,1944.897169166351,0.04577565163117647,4.778907896252349e-05,5.192492665730312e-05,0.11309152802747766,0.00013030489465781892,-0.45520463431142844,0.0001423938625723984,0.0663510030472565,0.5969782178985641,3.57556270096463,Mixed Low-Impact
1,18.307779323157042,83.93483138597139,0.05083206331851299,0.09355551354615356,0.16910882364784782,0.053563674170939976,0.048867355347277625,2.2646420824295013,0.10379132398135486,0.051103611265101025,0.2323959916072479,0.08797886555255822,0.05083206331851299,0.09355551354615356,0.16910882364784782,0.053563674170939976,0.048867355347277625,2.2646420824295013,0.10379132398135486,0.051103611265101025,0.2323959916072479,0.08797886555255822,13.76349809030134,1.115773690949293,0.0,1.659717758927583,5.830104552118341e-06,1938.4647349748145,0.04728258074470144,4.7542913090536144e-05,5.312317286736908e-05,0.11294550799467008,0.00012215594080194363,-0.4212117963270415,0.0001367618137902835,0.06149109836542982,0.7503287324982602,6.028199566160521,Mixed Low-Impact
2,18.865828608885376,84.47485828923068,0.04938094720052824,0.06421326335369922,0.14559567958401798,0.03555873305782916,0.03814268371652439,1.7417417417417418,0.1252518064697628,0.041444941952072205,0.27956798761263596,0.10703666523859662,0.04938094720052824,0.06421326335369922,0.14559567958401798,0.03555873305782916,0.03814268371652439,1.7417417417417418,0.1252518064697628,0.041444941952072205,0.27956798761263596,0.10703666523859662,12.104873922995283,1.0222032171179045,0.0,1.316748729697219,5.760337899118895e-06,1941.061790294053,0.04717030913689782,4.821374952573226e-05,5.0186421156174236e-05,0.11326478904527534,0.00012414825643464625,-0.3619036415744233,0.00013908097150621202,0.03072108437941017,0.16430697630693755,4.45945945945946,Mixed Low-Impact
3,18.268604874806375,83.61690331356492,0.0480243523974485,0.0770653488313586,0.15421620899345723,0.04254749850418158,0.047253285171303464,1.0579310344827586,0.09621417719276683,0.052166379171198755,0.3404451275710016,0.05279474340844895,0.0480243523974485,0.0770653488313586,0.15421620899345723,0.04254749850418158,0.047253285171303464,1.0579310344827586,0.09621417719276683,0.052166379171198755,0.3404451275710016,0.05279474340844895,13.843461030105088,1.13138864292153,0.0,1.2907079345604469,5.6325652622035705e-06,1939.1183268687032,0.04633709464095838,4.587607327266596e-05,5.8491244170383524e-05,0.11250405135936199,0.00015196822063852217,-0.45088833604903994,0.0001516458123222396,0.05132914096946678,0.5342458432128028,4.5793103448275865,Mixed Low-Impact
4,18.758669480845402,84.28500143756027,0.05768443770354388,0.05860063769622978,0.1610670848110198,0.0425662386612339,0.05302681817571807,3.0362694300518136,0.1598187803671999,0.04695403919955758,0.18800172662492742,0.04394640830596376,0.05768443770354388,0.05860063769622978,0.1610670848110198,0.0425662386612339,0.05302681817571807,3.0362694300518136,0.1598187803671999,0.04695403919955758,0.18800172662492742,0.04394640830596376,13.429771209874941,1.0766087929896742,0.0,1.49317281233832,5.69789926885278e-06,1947.3137363441856,0.046064400115914284,4.778907896252349e-05,5.1864592294392775e-05,0.11325497986579917,0.00019031238309867167,-0.4025036782402477,0.00015149389675528084,0.06467323563982146,0.5469356661357078,4.393782383419689,Mixed Low-Impact
5,19.007137372194162,84.62354406591653,0.055713214361546214,0.07839213779944017,0.1720276230300607,0.0411383932294098,0.041618430216542636,2.1818181818181817,0.10116165332340941,0.05345078160435972,0.22597598447288014,0.1074482267510823,0.055713214361546214,0.07839213779944017,0.1720276230300607,0.0411383932294098,0.041618430216542636,2.1818181818181817,0.10116165332340941,0.05345078160435972,0.22597598447288014,0.1074482267510823,12.232650109493393,1.0176125168800354,0.0,1.2059597983504786,6.266614670466604e-06,1936.694276404665,0.04775099121039771,5.1734381607578446e-05,5.0476857354180396e-05,0.11336801720141394,0.00018105813252654182,-0.33149057472038773,0.00013718012267424122,0.024897491596159834,0.16715176173565421,4.16969696969697,Mixed Low-Impact
6,18.636682163169553,83.6253109316537,0.0627236142816869,0.06329057476859434,0.1718400431649052,0.04675382128667417,0.05865563543761538,2.116788321167883,0.12085090454955583,0.053104943491307725,0.2900401122022279,0.04369793746109432,0.0627236142816869,0.06329057476859434,0.1718400431649052,0.04675382128667417,0.05865563543761538,2.116788321167883,0.12085090454955583,0.053104943491307725,0.2900401122022279,0.04369793746109432,13.593690212277625,1.1157053151143004,0.0,1.6650927252433017,5.165386937733274e-06,1938.3242999375248,0.046488368560872725,4.410353358252905e-05,5.527273693015112e-05,0.11276547814376098,0.00018157674816402165,-0.4351809163815262,0.00016291530777792114,0.06124322729307055,0.48596255696486007,8.936739659367397,Mixed Low-Impact
7,18.546958984544002,84.26099518083916,0.08066131991668127,0.06320556511505027,0.16572460529991895,0.0711435738470663,0.050494913858179905,2.0251572327044025,0.08943093445813925,0.0553166370783235,0.12495677547570337,0.19283642145547333,0.08066131991668127,0.06320556511505027,0.16572460529991895,0.0711435738470663,0.050494913858179905,2.0251572327044025,0.08943093445813925,0.0553166370783235,0.12495677547570337,0.19283642145547333,13.595574951171898,1.0825155302882197,0.0,1.503535509109497,5.738351388091995e-06,1930.827012875319,0.047304713051065476,4.789917978275796e-05,4.9242967971667665e-05,0.1131947284344613,0.00018258318926615662,-0.5400414625678266,0.00014137631104456982,0.0611043642451651,0.7085262904865754,7.591194968553459,Mixed Low-Impact
8,18.466413664529192,83.88538363810868,0.05707650273152641,0.05499938084497388,0.0949165091224416,0.04529927891140395,0.06207990544282044,1.2176470588235293,0.12725154487142223,0.05668664287693575,0.36302648733013915,0.03969183159517299,0.05707650273152641,0.05499938084497388,0.0949165091224416,0.04529927891140395,0.06207990544282044,1.2176470588235293,0.12725154487142223,0.05668664287693575,0.36302648733013915,0.03969183159517299,13.700443761488996,1.1108920277625907,0.0,1.7003983011432722,5.690858545801579e-06,1942.1295551607207,0.04721923988148812,4.668663744928827e-05,5.4202866546644106e-05,0.11290140761946567,0.00010424536182159736,-0.33976330552651646,0.00012908159995020786,0.07127216915501618,0.6624683870560022,7.823529411764706,Mixed Low-Impact
9,18.45744384113884,84.09095949682106,0.048565006979199486,0.06420778505362118,0.1867167667596409,0.05904861656568024,0.061311915468140486,3.16903073286052,0.1284190792976779,0.04935896662190491,0.1978510637240854,0.08761097993079708,0.048565006979199486,0.06420778505362118,0.1867167667596409,0.05904861656568024,0.061311915468140486,3.16903073286052,0.1284190792976779,0.04935896662190491,0.1978510637240854,0.08761097993079708,13.673853404809421,1.1020923812761376,0.0,1.650816866128439,5.878111494305127e-06,1938.0313347147587,0.04685955790157402,4.827957276635238e-05,5.108085788576508e-05,0.11308931403466059,0.0001276867956338447,-0.5088743992793907,0.00013161378291311323,0.06861069679317955,0.7780060302267984,6.815602836879433,Mixed Low-Impact
10,18.406412106289995,83.71271203701781,0.05456388708400365,0.055999413799549966,0.1306460912009931,0.05026730493653692,0.06301565595674291,1.3741721854304636,0.09547179173313233,0.06743837997423188,0.3286596386018568,0.04768730485097398,0.05456388708400365,0.055999413799549966,0.1306460912009931,0.05026730493653692,0.06301565595674291,1.3741721854304636,0.09547179173313233,0.06743837997423188,0.3286596386018568,0.04768730485097398,13.825602105753335,1.120581780920097,0.0,1.6196503270803961,5.6212209761789056e-06,1939.2194211939373,0.04663835024095059,4.5833031470035704e-05,5.6523032351758256e-05,0.11273019005288103,0.00010277910297047176,-0.43205805897625044,0.00014474774589111743,0.06069630397922897,0.4941275543910402,7.589403973509934,Mixed Low-Impact
11,18.67819010423897,84.36132574093429,0.05118098583230085,0.06859764514498291,0.21440710684222233,0.044460469758776024,0.0411091558286905,2.125984251968504,0.1143018009826746,0.04606081493195202,0.20956572979747307,0.08491008236223285,0.05118098583230085,0.06859764514498291,0.21440710684222233,0.044460469758776024,0.0411091558286905,2.125984251968504,0.1143018009826746,0.04606081493195202,0.20956572979747307,0.08491008236223285,12.909548565721911,1.05812576064092,0.0,1.4665276248624006,5.69789926885278e-06,1939.9147933030085,0.046440109714850665,4.778907896252349e-05,5.0013693576708257e-05,0.11330672684495832,0.0001652114257989718,-0.4800939259479131,0.00013709909975177442,0.05591626268116974,0.4664488206127048,4.590551181102362,Mixed Low-Impact
12,18.72189089164055,84.03329424487113,0.05393313058545647,0.06335926550994148,0.20829458930346317,0.043109873807934,0.05404637803279564,3.1515748031496065,0.1394275841898996,0.046735276746761596,0.24768153481702426,0.042184214778226106,0.05393313058545647,0.06335926550994148,0.20829458930346317,0.043109873807934,0.05404637803279564,3.1515748031496065,0.1394275841898996,0.046735276746761596,0.24768153481702426,0.042184214778226106,13.280915412001747,1.0947517625342205,0.0,1.5909371047508059,5.69789926885278e-06,1947.2846602359834,0.04623883873642924,4.778907896252349e-05,5.219572864539235e-05,0.11312138081109997,0.00012014655348376048,-0.44467705249916095,0.0001545410796587185,0.060919562172946806,0.22746598398640921,8.62992125984252,Mixed Low-Impact
13,18.598071541473093,83.83537112965699,0.04855260035376347,0.06375675626238268,0.07668894210304447,0.04142765041163731,0.07421798127383555,1.889367816091954,0.10185729991009015,0.047016494539459226,0.4381136087805766,0.03573360286208784,0.04855260035376347,0.06375675626238268,0.07668894210304447,0.04142765041163731,0.07421798127383555,1.889367816091954,0.10185729991009015,0.047016494539459226,0.4381136087805766,0.03573360286208784,13.57367543187637,1.10874830600645,0.0,1.6894550936660548,5.284743149880749e-06,1938.6224152135412,0.045830569593604396,4.49296040987347e-05,5.275442255671531e-05,0.11292317247172645,0.00016394310124707902,-0.41559747418762993,0.00014423159606971982,0.06669000412276589,0.5258190141790905,10.39080459770115,Mixed Low-Impact
14,18.779878343551534,83.81341828758487,0.049783512272980404,0.04807587104959019,0.12440140685757625,0.03703627791962705,0.05555276446268766,1.7831050228310503,0.12082439355342749,0.04256884378729783,0.4404768222027573,0.037573296633617026,0.049783512272980404,0.04807587104959019,0.12440140685757625,0.03703627791962705,0.05555276446268766,1.7831050228310503,0.12082439355342749,0.04256884378729783,0.4404768222027573,0.037573296633617026,13.166515709167225,1.0982621006123279,0.0,1.5985127205718053,5.2286075797839915e-06,1938.7065650585425,0.04537167125178213,4.454108691531378e-05,5.2199455542252526e-05,0.1129444820492751,0.00011386342058414221,-0.4484239327847313,0.00014853077064237193,0.062076892606004686,0.45859086430655754,11.52283105022831,Mixed Low-Impact
